,Greater economic and employment opportunities,Improved governance and conflict prevention,Improved migration management,Strengthening resilience,unique_money,unique_recipient
0,0,21000000,15500000,42023633,78523633,Nigeria
1,99900000,86000000,22000000,22000000,229900000,Niger
2,37200000,6000000,11000000,0,54200000,Mauritanie
3,39576233,67000000,15000000,65000000,186576233,Mali
4,65000000,0,0,0,65000000,Guinée
5,0,0,0,0,0,Ghana
6,0,0,0,0,0,Côte d'Ivoire
7,0,0,11300000,0,11300000,Tunisia
8,0,0,10080000,0,10080000,Morocco
9,0,0,157923927,0,157923927,Libya
10,0,0,60000000,0,60000000,Egypt
11,0,0,0,0,0,Algeria
12,44300000,0,0,0,44300000,Uganda
13,0,0,0,0,0,Tanzania
14,17000000,0,3300000,20000000,40300000,Cameroun
15,40000000,8000000,8000000,47000000,103000000,Sudan
16,0,75000,0,74414000,74789000,South Sudan
17,58000000,45000000,0,0,103000000,Somalia
18,29000000,5000000,0,0,34000000,Kenya
19,143857000,0,0,0,158857000,Ethiopia
20,13000000,0,0,0,13000000,Eritrea
21,10000000,0,15000000,0,25000000,Djibouti
22,11000000,0,3900000,0,14900000,The Gambia
23,0,20000000,0,93300000,113300000,Tchad
24,78000000,28000000,42203200,13600000,161803200,Senegal
25,29200000,87000000,8300000,30000000,154500000,Burkina Faso
